*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.5.007 -  MAR 01, 2026 21:01:02
!                                                                                                 Soil water content (mm3/mm3) by soil depth (cm):
!                                                                                                0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90
@YEAR DOY   DAS  SWTD  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT    MWTD  TDFD  TDFC   ROFD    SW1D    SW2D    SW3D    SW4D    SW5D    SW6D    SW7D    SW8D    SW9D
 2015 102     0   353    88      0      0      0     0     0     0    0.00   0.0   0.0   0.00   0.377   0.387   0.380   0.398   0.398   0.398   0.398   0.398   0.398
 2015 103     1   375   110      0      0      5     1    20    45    0.00   0.0   0.0   0.05   0.434   0.421   0.425   0.438   0.436   0.407   0.398   0.396   0.395
 2015 104     2   379   113      1      0     13     1    20    90    0.00   0.0   0.0   0.71   0.426   0.419   0.425   0.438   0.439   0.437   0.409   0.399   0.394
 2015 105     3   376   110      1      0     13     1    20    90    0.00   0.0   0.0   0.00   0.411   0.415   0.418   0.435   0.435   0.434   0.414   0.401   0.394
 2015 106     4   385   119      4      0     29     1    20    89    0.00   0.0   0.0   3.17   0.424   0.418   0.425   0.438   0.438   0.439   0.439   0.424   0.402
 2015 107     5   382   116      4      1     31     1    20    88    0.00   0.0   0.0   0.00   0.411   0.415   0.417   0.435   0.435   0.436   0.437   0.426   0.408
 2015 108     6   389   124      4      9     31     2    40    83    0.00   0.0   0.0   0.00   0.422   0.417   0.424   0.437   0.438   0.438   0.439   0.439   0.439
 2015 109     7   375   110      4     20     31     2    40    86    0.00   0.0   0.0   0.00   0.404   0.404   0.407   0.422   0.422   0.423   0.423   0.423   0.423
 2015 110     8   379   114      5     21     40     2    40    86    0.00   0.0   0.0   0.80   0.434   0.421   0.417   0.423   0.420   0.420   0.420   0.420   0.420
 2015 111     9   383   117      6     22     50     2    40    87    0.00   0.0   0.0   1.29   0.423   0.417   0.424   0.438   0.438   0.431   0.421   0.419   0.418
 2015 112    10   371   105      6     31     50     2    40    88    0.00   0.0   0.0   0.00   0.404   0.404   0.407   0.422   0.423   0.417   0.411   0.409   0.409
 2015 113    11   386   121      6     31     50     3    60    88    0.00   0.0   0.0   0.00   0.433   0.420   0.425   0.438   0.438   0.438   0.438   0.424   0.411
 2015 114    12   382   117      6     32     51     3    60    88    0.00   0.0   0.0   0.00   0.414   0.416   0.417   0.434   0.434   0.434   0.434   0.425   0.412
 2015 115    13   370   104      6     41     51     3    60    89    0.00   0.0   0.0   0.00   0.398   0.402   0.402   0.420   0.420   0.419   0.419   0.413   0.405
 2015 116    14   372   106      6     41     57     3    60    89    0.00   0.0   0.0   0.24   0.430   0.408   0.398   0.416   0.416   0.416   0.416   0.411   0.404
 2015 117    15   367   102      6     42     57     3    60    89    0.00   0.0   0.0   0.00   0.410   0.406   0.396   0.413   0.413   0.412   0.412   0.409   0.403
 2015 118    16   390   124      9     43     69     4    80    85    0.00   0.0   0.0   3.00   0.440   0.415   0.423   0.437   0.438   0.438   0.439   0.439   0.428
 2015 119    17   374   109      9     54     69     4    80    87    0.00   0.0   0.0   0.00   0.414   0.400   0.404   0.421   0.422   0.422   0.423   0.423   0.416
 2015 120    18   381   115      9     55     69     5    91    87    0.00   0.0   0.0   0.00   0.424   0.418   0.424   0.437   0.425   0.422   0.421   0.421   0.416
 2015 121    19   369   103      9     63     69     5    91    89    0.00   0.0   0.0   0.00   0.403   0.402   0.406   0.421   0.413   0.411   0.411   0.411   0.407
 2015 122    20   360    94      9     68     69     5    91    90    0.00   0.0   0.0   0.00   0.388   0.392   0.392   0.410   0.405   0.404   0.403   0.403   0.401
 2015 123    21   354    88      9     70     69     5    91    90    0.00   0.0   0.0   0.00   0.377   0.385   0.383   0.402   0.399   0.399   0.398   0.398   0.397
 2015 124    22   361    95      9     70     69     6   100    90    0.00   0.0   0.0   0.00   0.434   0.403   0.385   0.401   0.398   0.397   0.396   0.396   0.395
 2015 125    23   363    97     10     70     75     6   100    90    0.00   0.0   0.0   0.30   0.424   0.418   0.401   0.405   0.399   0.397   0.395   0.395   0.393
 2015 126    24   377   112     16     70     98     6   100    90    0.00   0.0   0.0   6.37   0.430   0.420   0.426   0.440   0.440   0.425   0.403   0.397   0.393
 2015 127    25   374   108     16     70     98     6   100    90    0.00   0.0   0.0   0.00   0.411   0.414   0.417   0.436   0.436   0.426   0.408   0.398   0.391
 2015 128    26   365    99     16     75     98     6   100    90    0.00   0.0   0.0   0.00   0.394   0.400   0.401   0.421   0.422   0.415   0.402   0.395   0.395
 2015 129    27   358    93     16     78     98     6   100    90    0.00   0.0   0.0   0.00   0.382   0.391   0.389   0.410   0.412   0.408   0.399   0.396   0.396
 2015 130    28   353    88     16     80     98     6   100    90    0.00   0.0   0.0   0.00   0.373   0.384   0.381   0.403   0.405   0.402   0.396   0.395   0.395
 2015 131    29   375   110     27     80    132     6   100    90    0.01   0.0   0.0  11.12   0.435   0.422   0.427   0.440   0.428   0.409   0.400   0.396   0.395
 2015 132    30   367   102     27     86    132     6   100    90    0.01   0.0   0.0   0.00   0.413   0.408   0.410   0.425   0.418   0.405   0.399   0.397   0.397
 2015 133    31   365    99     27     86    133     6   100    90    0.01   0.0   0.0   0.00   0.399   0.404   0.403   0.423   0.418   0.408   0.400   0.397   0.395
 2015 134    32   373   107     27     86    133     7   111    90    0.01   0.0   0.0   0.00   0.430   0.419   0.424   0.430   0.421   0.411   0.402   0.398   0.394
 2015 135    33   383   118     27     86    133     8   124    90    0.01   0.0   0.0   0.00   0.428   0.418   0.425   0.439   0.440   0.441   0.435   0.409   0.398
 2015 136    34   372   106     27     95    133     8   124    90    0.02   0.0   0.0   0.00   0.407   0.404   0.408   0.424   0.426   0.427   0.423   0.404   0.397
 2015 137    35   363    97     27    100    133     8   124    90    0.02   0.0   0.0   0.00   0.389   0.392   0.393   0.412   0.415   0.416   0.414   0.401   0.396
 2015 138    36   357    91     27    103    133     8   124    90    0.02   0.0   0.0   0.00   0.376   0.385   0.383   0.405   0.408   0.409   0.407   0.399   0.396
 2015 139    37   363    97     27    103    134     9   132    90    0.04   0.0   0.0   0.00   0.430   0.400   0.382   0.402   0.405   0.407   0.406   0.400   0.397
 2015 140    38   360    95     27    103    134     9   132    90    0.05   0.0   0.0   0.00   0.410   0.401   0.384   0.400   0.402   0.405   0.405   0.401   0.397
 2015 141    39   355    90     27    105    134     9   132    90    0.06   0.0   0.0   0.00   0.388   0.389   0.378   0.398   0.399   0.401   0.401   0.399   0.396
 2015 142    40   371   105     27    105    134    10   151    90    0.05   0.0   0.0   0.00   0.426   0.419   0.425   0.434   0.409   0.403   0.401   0.399   0.395
 2015 143    41   363    98     27    110    134    10   151    90    0.05   0.0   0.0   0.00   0.404   0.403   0.406   0.420   0.404   0.400   0.399   0.398   0.397
 2015 144    42   357    91     27    113    134    10   151    90    0.05   0.0   0.0   0.00   0.386   0.391   0.392   0.410   0.400   0.399   0.398   0.397   0.397
 2015 145    43   352    87     27    114    134    10   151    90    0.05   0.0   0.0   0.00   0.372   0.383   0.381   0.402   0.398   0.397   0.396   0.396   0.396
 2015 146    44   375   110     27    114    134    11   178    90    0.05   0.0   0.0   0.00   0.428   0.416   0.421   0.437   0.439   0.419   0.402   0.397   0.395
 2015 147    45   366   100     27    120    134    11   178    90    0.05   0.0   0.0   0.00   0.404   0.400   0.403   0.422   0.425   0.411   0.400   0.397   0.397
 2015 148    46   359    94     27    124    134    11   178    90    0.05   0.0   0.0   0.00   0.387   0.391   0.390   0.411   0.415   0.406   0.398   0.397   0.397
 2015 149    47   354    89     27    125    134    11   178    90    0.05   0.0   0.0   0.00   0.374   0.384   0.381   0.404   0.408   0.402   0.397   0.397   0.397
 2015 150    48   350    85     27    125    134    11   178    90    0.05   0.0   0.0   0.00   0.364   0.377   0.375   0.398   0.402   0.399   0.396   0.396   0.396
 2015 151    49   347    82     27    125    134    11   178    90    0.05   0.0   0.0   0.00   0.358   0.371   0.369   0.394   0.398   0.398   0.396   0.395   0.395
 2015 152    50   361    95     27    125    134    12   194    90    0.04   0.0   0.0   0.00   0.432   0.419   0.387   0.396   0.396   0.396   0.394   0.393   0.393
 2015 153    51   356    91     27    126    134    12   194    90    0.04   0.0   0.0   0.00   0.405   0.400   0.380   0.396   0.396   0.396   0.396   0.396   0.396
 2015 154    52   353    87     27    126    134    12   194    90    0.04   0.0   0.0   0.00   0.385   0.389   0.377   0.396   0.396   0.397   0.397   0.397   0.397
 2015 155    53   349    84     27    126    134    12   194    90    0.04   0.0   0.0   0.00   0.370   0.382   0.374   0.393   0.394   0.395   0.395   0.395   0.395
 2015 156    54   364    99     27    126    134    13   212    90    0.04   0.0   0.0   0.00   0.429   0.418   0.420   0.405   0.396   0.393   0.393   0.393   0.393
 2015 157    55   359    93     27    128    134    13   212    90    0.05   0.0   0.0   0.00   0.404   0.400   0.402   0.400   0.396   0.396   0.396   0.396   0.396
 2015 158    56   354    89     27    129    134    13   212    90    0.05   0.0   0.0   0.00   0.386   0.390   0.388   0.397   0.396   0.396   0.396   0.396   0.396
 2015 159    57   351    85     27    129    134    13   212    90    0.05   0.0   0.0   0.00   0.373   0.383   0.380   0.395   0.396   0.396   0.396   0.394   0.394
 2015 160    58   370   105     27    129    134    14   235    90    0.04   0.0   0.0   0.00   0.429   0.418   0.423   0.438   0.415   0.401   0.396   0.393   0.393
