*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.5.007 -  MAR 01, 2026 21:19:28
!                                                                                                                                                                                                                                                    Root Dens. (cm/cm3) by soil depth (cm):
!                                                                                                                                                                                                                                                   0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90
@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   VWAD   CWAD   G#AD    GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD  PST1A  PST2A   KSTD   EWSD    LN%D   SH%D   HIPD   PWDD   PWTD   SLAD   CHTD   CWID   NWAD   RDPD    RL1D    RL2D    RL3D    RL4D    RL5D    RL6D    RL7D    RL8D    RL9D    SNW0C   SNW1C
 2015 103     1     0    0.0      0  0.000      0      0      0      0      0      0      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    0.00   0.00   0.00      0      0    0.0   0.00   0.00    0.0   0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00        0       0
 2015 104     2     1    0.0      0  0.000      0      0      0      0      0      0      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    0.00   0.00   0.00      0      0    0.0   0.00   0.00    0.0   0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00        0       0
 2015 105     3     2    0.0      0  0.000      0      0      0      0      0      0      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    0.00   0.00   0.00      0      0    0.0   0.00   0.00    0.0   0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00        0       0
 2015 106     4     3    0.0      0  0.000      0      0      0      0      0      0      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    0.00   0.00   0.00      0      0    0.0   0.00   0.00    0.0   0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00        0       0
 2015 107     5     4    0.2      0  0.028     13      6      0     18     19     19      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.84   0.00   0.00      0      0  216.6   0.04   0.03    4.5   0.27    0.07    0.07    0.03    0.00    0.00    0.00    0.00    0.00    0.00        0       1
 2015 108     6     5    0.5      0  0.037     15      6      0     19     21     21      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.85   0.00   0.00      0      0  242.4   0.05   0.03    4.4   0.29    0.07    0.07    0.03    0.00    0.00    0.00    0.00    0.00    0.00        0       1
 2015 109     7     6    0.8      0  0.048     18      6      0     19     24     24      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.85   0.00   0.00      0      0  267.9   0.06   0.04    4.3   0.31    0.07    0.07    0.03    0.00    0.00    0.00    0.00    0.00    0.00        0       2
 2015 110     8     7    1.1      0  0.064     21      7      0     19     28     28      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.013    3.81   0.00   0.00      0      0  301.9   0.07   0.04    4.2   0.34    0.07    0.07    0.04    0.00    0.00    0.00    0.00    0.00    0.00        0       2
 2015 111     9     8    1.4      0  0.079     25      8      0     21     33     33      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.78   0.00   0.00      0      0  321.7   0.08   0.05    4.2   0.36    0.07    0.07    0.04    0.00    0.00    0.00    0.00    0.00    0.00        0       3
 2015 112    10     9    1.7      0  0.092     28     10      0     22     38     38      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.83   0.00   0.00      0      0  331.3   0.09   0.06    4.1   0.38    0.08    0.07    0.04    0.00    0.00    0.00    0.00    0.00    0.00        0       3
